Day,Date,From,To,Station,Programme,Genre,AR,Viewers,Share
Tue,07/06/2016,2032,2103,S1,Uzalo,Dram,24.6,8276462,66.3
Wed,22/06/2016,2001,2030,S1,Generations the Legacy,Soap,23.8,8018765,66.2
Tue,21/06/2016,1831,1901,S1,Skeem Saam,Dram,22.1,7465141,62
Tue,21/06/2016,1827,1831,S1,Vodacom Yebo Millionaires,Quiz,17.3,5836157,53.1
Thur,23/06/2016,2033,2102,S1,Mfolozi Street,Dram,16.8,5659818,51
Fri,24/06/2016,2030,2100,S1,Dream World,Dram,13.8,4647108,44.2
Wed,29/06/2016,1856,1900,S1,Soccer Build- up,Spor,13.6,4596970,53.7
Sat,11/06/2016,1900,1931,S1,Xhosa News,News,13.1,4409894,43.7
Mon,06/06/2016,1901,1931,S1,Zulu News,News,13,4382479,38.4
Tue,21/06/2016,1800,1827,S1,Nyan Nyan,Real,12.5,4225243,42.9
Wed,29/06/2016,1900,2058,S1,Caf Champions League 2016:Mamedlodi Sund,Spor,12.4,4174504,38.1
Wed,15/06/2016,1932,2001,S1,Thandekas Diary,Real,12,4035114,35.2
Tue,07/06/2016,1931,2002,S1,Selimathunzi,Vari,11.7,3937243,34.7
Sat,11/06/2016,1759,1900,S1,Friends Like These,Vari,11.2,3768650,40.6
Thur,09/06/2016,1931,2000,S1,Zaziwa,Vari,10.4,3505524,31.9
Wed,22/06/2016,1800,1830,S1,Mokapelo,Real,10.2,3429178,36
Fri,24/06/2016,1930,2000,S1,Live Amp,Musi,10.2,3425181,31.8
Mon,27/06/2016,1759,1829,S1,Now or Never,Docu,9.6,3232454,35.1
Fri,17/06/2016,1801,1830,S1,Fan Base,Musi,9,3041527,34.9
Fri,10/06/2016,2030,2058,S1,Uefa Euro 2016 Opening Ceremony,Vari,8.9,3008407,31.5
Mon,06/06/2016,2100,2130,S2,Muvhango,Dram,17.3,5822236,59
Wed,08/06/2016,2100,2104,S2,Lotto Draw Live,Quiz,13.5,4554245,46.3
Mon,06/06/2016,2130,2200,S2,Skwizas -R,Sitc,9.2,3115125,45.3
Fri,03/06/2016,2130,2201,S2,Keletso,Dram,6.2,2101826,33.1
Mon,13/06/2016,1830,1859,S2,7De Laan,Soap,6.2,2084086,18.9
Thur,09/06/2016,2132,2201,S2,Speak Out,Actu,6.1,2066776,33.2
Sun,26/06/2016,1931,2001,S2,Skwizas,Sitc,5.6,1892492,18.1
Wed,01/06/2016,2135,2204,S2,Thola,Dram,5.2,1754658,28.6
Sat,04/06/2016,1851,2058,S2,Afcon Qualifiers 2017:Gambia vs South Af,Spor,5.1,1724583,18.7
Wed,22/06/2016,1759,1828,S2,Ses/Tsw/Sep News,News,5,1695880,17.4
Tue,07/06/2016,2130,2228,S2,It's Gospel Time -R,Musi,4.8,1630421,28.1
Mon,13/06/2016,1859,1929,S2,Nuus,News,4.4,1471697,13
Sat,18/06/2016,1600,1755,S2,Are We There Yet,Movi,4.3,1452430,21.1
Fri,17/06/2016,2000,2059,S2,Noot Vir Noot,Musi,4,1352675,13.1
Sat,04/06/2016,1548,1754,S2,Rat Race,Movi,4,1346443,22.3
Sat,25/06/2016,1900,2129,S2,Castle Lager Incoming Series 2016:South,Spor,3.8,1287696,14.4
Fri,03/06/2016,2201,2232,S2,Mmampodi,Dram,3.7,1235637,25.1
Mon,13/06/2016,1700,1729,S2,Naruto,Yent,3.6,1224114,18.9
Sun,26/06/2016,1829,1855,S2,Fokus,Actu,3.5,1164455,12.4
Sun,19/06/2016,2000,2100,S2,It's Gospel Time,Musi,3.4,1152706,12
Mon,20/06/2016,1800,1827,S3,The Bold and the Beautiful,Soap,4.4,1492882,15
Thur,23/06/2016,1900,1929,S3,Isidingo:the Need,Soap,3.6,1199353,10.4
Wed,22/06/2016,1700,1749,S3,Days of Our Lives,Soap,3.2,1094673,16
Mon,13/06/2016,1755,1759,S3,Gourmet,Maga,3.2,1078201,13.4
Sat,18/06/2016,1900,2100,S3,The Water Horse,Movi,2.8,938621,9.6
Sun,19/06/2016,1830,1858,S3,News,News,2.4,797785,8.3
Sat,25/06/2016,1900,2051,S3,Zathura:a Space Adventure,Movi,2.4,795079,8.5
Sat,11/06/2016,2100,2315,S3,Savages,Movi,2.3,785563,15.1
Wed,29/06/2016,2001,2053,S3,The Mentalist,Dram,2,686825,6.3
Wed,15/06/2016,1930,2001,S3,High Rollers,Dram,2,686653,5.8
Sat,18/06/2016,2101,2257,S3,Freeway,Movi,2,670058,10.7
Sat,11/06/2016,1859,2047,S3,The Maiden Heist,Movi,1.9,651029,6.9
Sun,12/06/2016,1800,1829,S3,The Man Cave,Vari,1.9,639960,7.1
Sun,19/06/2016,1932,2031,S3,Tracks:Tracking with the San of the Kala,Docu,1.9,636225,6.2
Sun,12/06/2016,1634,1729,S3,Survivor:Blood vs Water,Real,1.7,588247,7.7
