Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Thur,21/04/2016,1931,2000,ETV,Scandal,Soap,14.5,4893383,40.4
Thur,21/04/2016,1901,1929,ETV,Rhythm City,Dram,10.7,3614525,30.6
Sun,03/04/2016,1959,2237,ETV,Live Free or Die Hard,Movi,9.3,3144309,39.4
Sun,24/04/2016,2000,2209,ETV,Rise of the Planet of the Apes,Movi,8.8,2982434,36.8
Sun,17/04/2016,2000,2200,ETV,Faster,Movi,8.4,2847695,34.6
Sun,03/04/2016,1659,1757,ETV,Wwe Wrestling Raw,Spor,7.9,2671363,34.7
Sat,16/04/2016,1930,2125,ETV,The Smurfs,Movi,7.8,2627314,29.5
Sun,10/04/2016,1958,2159,ETV,A Good Day to Die Hard,Movi,7.6,2566731,31.3
Sun,10/04/2016,1800,1801,ETV,E News Direct Headlines,News,7.6,2546454,29.4
Sat,02/04/2016,1930,2138,ETV,Night at the Museum,Movi,7.4,2489589,28.5
Sat,23/04/2016,1929,2132,ETV,The Smurfs 2,Movi,6.9,2322483,24.5
Sun,24/04/2016,1804,1830,ETV,Mahadi-Lobola,Real,6.9,2314139,27.8
Sat,09/04/2016,1929,2129,ETV,Zookeeper,Movi,6.4,2161798,23.7
Sat,30/04/2016,1930,2124,ETV,Rio,Movi,6.3,2123531,25.1
Sat,09/04/2016,1701,1757,ETV,Wwe Wrestling Smackdown,Spor,6.1,2039372,30.8
Tue,26/04/2016,2135,2203,ETV,Heist(Drama),Dram,5.8,1941318,30.2
Fri,01/04/2016,2039,2112,ETV,Ashes to Ashes,Dram,5.7,1904055,17.9
Fri,01/04/2016,2059,2105,ETV,The Powerball Draw,Quiz,5.5,1865381,18.2
Sun,10/04/2016,1830,1858,ETV,Umuthi Ongapheli,Dram,5.4,1827005,20.9
Mon,11/04/2016,2129,2229,ETV,Umlilo,Dram,5.4,1817049,28.8
Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Sun,24/04/2016,1900,2002,MNET,Carte Blanche,Actu,0.8,258509,2.6
Sun,10/04/2016,2008,2159,MNET,The Gunman,Movi,0.7,219570,2.7
Sun,17/04/2016,2033,2228,MNET,Spy (Mov),Movi,0.6,216052,3.2
Sun,24/04/2016,2006,2142,MNET,The Duff,Movi,0.6,193609,2.2
Sun,03/04/2016,2005,2145,MNET,Focus,Movi,0.5,151828,1.7
Mon,18/04/2016,1930,2027,MNET,Grey's Anatomy,Dram,0.3,88251,0.7
Sun,03/04/2016,1659,1851,MNET,The Voice SA -R,Maga,0.3,87284,1.1
Tue,19/04/2016,2031,2125,MNET,Chicago Fire,Dram,0.3,85319,0.7
Tue,26/04/2016,1935,2029,MNET,Chicago Med,Dram,0.2,81702,0.8
Thur,07/04/2016,2030,2125,MNET,Blue Bloods,Dram,0.2,76018,0.7
Fri,29/04/2016,2030,2125,MNET,Ncis:Los Angeles,Dram,0.2,75530,0.8
Sat,23/04/2016,1931,1958,MNET,2 Broke Girls -R,Sitc,0.2,71990,0.7
Tue,12/04/2016,1824,1828,MNET,Epk:Chris De Burgh,Docu,0.2,61044,0.7
Thur,14/04/2016,1700,1753,MNET,The Ellen Degeneres Show,Maga,0.2,61132,1
Mon,04/04/2016,2030,2124,MNET,The Fixer (Drama),Dram,0.2,60290,0.5
Sat,23/04/2016,1900,1928,MNET,The Middle -R,Sitc,0.2,59942,0.6
Thur,07/04/2016,1933,2025,MNET,Limitless,Movi,0.2,59574,0.6
Fri,22/04/2016,1932,2027,MNET,Rizzoli & Isles,Dram,0.2,58255,0.6
Sun,10/04/2016,2159,2205,MNET,Epk:No Good Deed,Docu,0.2,57331,1.4
Wed,06/04/2016,2131,2218,MNET,Csi Cyber,Dram,0.2,53936,0.8
"","","","","","","","","",""
"","","","","","","","","",""
Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Sun,10/04/2016,1900,1959,MZAN,Our Perfect Wedding (Mag),Maga,3.8,1285798,13
Sun,10/04/2016,2000,2058,MZAN,Igazi,Dram,3.7,1242549,13
Thur,14/04/2016,2030,2100,MZAN,Isibaya,Dram,3.5,1173771,10.6
Sun,03/04/2016,2002,2103,MZAN,Saints and Sinners[drama],Dram,3,997114,10.4
Sun,24/04/2016,1800,1858,MZAN,Date My Family,Real,2.3,765963,8.9
Sun,03/04/2016,1730,1901,MZAN,Clash of the Choirs,Musi,2.1,715514,8.4
Sun,17/04/2016,2100,2128,MZAN,Doubt,Movi,1.7,572024,7.6
Sun,03/04/2016,2104,2242,MZAN,Hear Me Move,Movi,1.1,374953,5.8
Mon,04/04/2016,1930,1959,MZAN,Greed & Desire,Dram,1.1,362790,3.1
Sun,24/04/2016,1732,1759,MZAN,Living the Dream with Somizi,Real,0.9,308160,4
Sun,03/04/2016,1700,1728,MZAN,Diski Divas -R,Vari,0.9,287457,3.9
Mon,04/04/2016,2000,2028,MZAN,Please Step in,Vari,0.8,274020,2.5
Tue,19/04/2016,2000,2029,MZAN,Utatakho,Real,0.8,270856,2.3
