Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Tue,22/03/2016,1931,2000,ETV,Scandal,Soap,13.6,4565369,38.5
Sun,13/03/2016,2000,2148,ETV,Rush Hour II,Movi,10.9,3656788,41.6
Wed,30/03/2016,1902,1928,ETV,Rhythm City,Dram,10.6,3578799,31.7
Sun,06/03/2016,2000,2159,ETV,Rush Hour,Movi,9.8,3305778,40
Tue,29/03/2016,1959,2029,ETV,Ashes to Ashes,Dram,8.4,2841009,24.9
Sun,20/03/2016,1959,2154,ETV,How I Met Your Mother,Sitc,7.7,2580859,29.9
Sun,27/03/2016,1959,2243,ETV,White House Revealed,Docu,7.6,2547084,33.6
Sun,27/03/2016,1700,1759,ETV,Wwe Wrestling Raw,Spor,7.5,2516109,36.3
Sat,19/03/2016,1930,2122,ETV,Daddy Daycare,Movi,7.3,2462312,28.4
Sun,20/03/2016,1800,1801,ETV,E News Direct Headlines,News,7.1,2389654,28.1
Sat,12/03/2016,1929,2122,ETV,Are We Done Yet?,Movi,6.8,2275825,25.2
Thur,24/03/2016,2030,2239,ETV,The Next Karate Kid,Movi,6.4,2152621,25
Sat,26/03/2016,1930,2201,ETV,We Bought a Zoo,Movi,6.1,2060986,27.2
Mon,28/03/2016,2130,2228,ETV,Umlilo,Dram,6.1,2046327,28.9
Sat,05/03/2016,1931,2134,ETV,Grown Ups,Movi,5.8,1957906,25.6
Sun,13/03/2016,1805,1830,ETV,Mahadi-Lobola,Real,5.8,1952548,25.9
Thur,10/03/2016,2029,2246,ETV,The Karate Kid,Movi,5.7,1923637,24.6
Fri,18/03/2016,2100,2105,ETV,The Powerball Draw,Quiz,5.4,1806216,17
Thur,17/03/2016,2030,2248,ETV,The Karate Kid Part III,Movi,5.3,1793576,22.7
Tue,01/03/2016,2136,2204,ETV,Heist(Drama),Dram,5.3,1787427,26
Day ,Date ,From ,To ,Station ,ProgrammeTitle ,Genre ,AR ,"",Viewers ,Share,""
Sun ,13/03/2016 ,2006 ,"",2136 MNET ,Tracers ,Movi ,"",0.7 ,232339 ,"",2.5
Sun ,13/03/2016 ,1901 ,"",2001 MNET ,Carte Blanche ,Actu ,"",0.6 ,217986 ,"",2.4
Sun ,13/03/2016 ,1730 ,"",1901 MNET ,The Voice SA ,Maga ,"",0.6 ,218162 ,"",2.8
Sun ,06/03/2016 ,2005 ,"",2213 MNET ,American Sniper ,Movi ,"",0.6 ,201997 ,"",2.5
Sun ,27/03/2016 ,1700 ,"",1854 MNET ,The Voice SA -R ,Maga ,"",0.5 ,151279 ,"",2
Sun ,20/03/2016 ,2006 ,"",2140 MNET ,The Cobbler ,Movi ,"",0.4 ,137269 ,"",1.5
Mon ,21/03/2016 ,1830 ,"",1930 MNET ,Masterchef Australia ,Maga ,"",0.4 ,135496 ,"",1.3
Sun ,27/03/2016 ,2005 ,"",2158 MNET ,Ant-Man ,Movi ,"",0.4 ,127772 ,"",1.5
Wed ,23/03/2016 ,1931 ,"",1959 MNET ,Modern Family ,Dram ,"",0.3 ,93452 ,"",0.8
Sat ,19/03/2016 ,1700 ,"",1856 MNET ,Miss South Africa 2016 ,Vari ,"",0.2 ,83015 ,"",1.2
Mon ,28/03/2016 ,1932 ,"",2026 MNET ,Grey's Anatomy ,Dram ,"",0.2 ,76671 ,"",0.7
Thur ,10/03/2016 ,2030 ,"",2128 MNET ,Blue Bloods ,Dram ,"",0.2 ,73520 ,"",0.7
Wed ,02/03/2016 ,2000 ,"",2027 MNET ,The Big Bang Theory ,Sitc ,"",0.2 ,70667 ,"",0.6
Wed ,02/03/2016 ,2030 ,"",2124 MNET ,Shades of Blue ,Dram ,"",0.2 ,64299 ,"",0.6
Sat ,26/03/2016 ,1830 ,"",1856 MNET ,Mom-R ,Sitc ,"",0.2 ,62016 ,"",0.8
Thur ,10/03/2016 ,1930 ,"",2029 MNET ,Suits ,Dram ,"",0.2 ,59219 ,"",0.5
Thur ,17/03/2016 ,1800 ,"",1828 MNET ,2 Broke Girls ,Sitc ,"",0.2 ,53654 ,"",0.7
Fri ,11/03/2016 ,1934 ,"",2026 MNET ,The Last Ship ,Dram ,"",0.2 ,52434 ,"",0.5
Thur ,31/03/2016 ,1932 ,"",2026 MNET ,Limitless ,Movi ,"",0.2 ,52116 ,"",0.4
Wed ,23/03/2016 ,2131 ,"",2225 MNET ,Csi Cyber ,Dram ,"",0.2 ,50782 ,"",0.7
Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Sun,13/03/2016,1904,2002,MZAN,Our Perfect Wedding (Mag),Maga,3.3,1107428,11.8
Thur,17/03/2016,2030,2059,MZAN,Isibaya,Dram,3,1025752,9.1
Sun,06/03/2016,2002,2101,MZAN,Saints and Sinners[drama],Dram,2.7,906784,10
Sun,20/03/2016,1730,1900,MZAN,Clash of the Choirs,Musi,2,678047,9
Sat,19/03/2016,1700,1856,MZAN,Miss South Africa 2016,Vari,0.9,311111,4.5
Tue,29/03/2016,2000,2029,MZAN,Utatakho,Real,0.9,306106,2.7
Sat,19/03/2016,1858,1900,MZAN,Epk:10 Cloverfield Lane,Docu,0.9,289785,4.3
Sun,20/03/2016,1700,1728,MZAN,Diski Divas -R,Vari,0.8,254575,3.8
Sat,12/03/2016,1930,2025,MZAN,Ungeno,Movi,0.7,250861,2.6
Sat,19/03/2016,1900,1929,MZAN,Ezase Afro:the Empire,Vari,0.7,231583,2.7
Mon,28/03/2016,2101,2128,MZAN,Zabalaza,Dram,0.7,222595,2.1
Mon,21/03/2016,1746,1757,MZAN,Epk:My Big Fat Greek Wedding,Docu,0.7,218588,3.2
Mon,21/03/2016,1800,1925,MZAN,Clash of the Choirs -R,Musi,0.6,192408,2.1
Wed,30/03/2016,1930,1958,MZAN,The Road (Drama),Dram,0.6,189154,1.6
Mon,21/03/2016,1600,1743,MZAN,Miss South Africa 2016-R,Vari,0.5,180709,3.1
Mon,21/03/2016,1757,1759,MZAN,Epk:the Danish Girl,Docu,0.5,178539,3.2
Sat,05/03/2016,1930,2027,MZAN,#Lit,Dram,0.5,178464,2.2
Wed,30/03/2016,2000,2028,MZAN,Diski Divas,Vari,0.5,175640,1.5
Wed,23/03/2016,1800,1829,MZAN,Please Step in,Vari,0.5,175121,2.3
Sun,27/03/2016,2105,2237,MZAN,Relentless Justice,Movi,0.5,163812,2.8
"","","","","","","","","",""
Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Tue,22/03/2016,2031,2102,S1,Uzalo,Dram,23.9,8029500,64.5
Tue,22/03/2016,2001,2030,S1,Generations the Legacy,Soap,23.7,7960094,66.3
Tue,22/03/2016,1830,1900,S1,Skeem Saam,Dram,19.3,6499423,60.6
Thur,31/03/2016,2033,2103,S1,Mfolozi Street,Dram,16.2,5445150,47.4
Tue,08/03/2016,1828,1832,S1,Vodacom Yebo Millionaires,Quiz,14.9,5003915,55.1
Tue,29/03/2016,1906,2105,S1,Afcon 2017 Qualifier:South Africa vs Cam,Spor,13.6,4586565,40.8
Tue,29/03/2016,1832,1851,S1,Xhosa News,News,13.4,4505067,44.2
Fri,18/03/2016,2031,2100,S1,Jab,Dram,12.8,4302750,41.7
Fri,04/03/2016,1830,1900,S1,Skeem Saam -R,Dram,12.6,4237708,53.6
Mon,28/03/2016,1901,1930,S1,Zulu News,News,12.2,4096442,36.1
Thur,03/03/2016,1935,2005,S1,Zaziwa,Vari,12.1,4080057,40.2
Mon,14/03/2016,1931,2001,S1,Ses Top La,Sitc,12,4036902,36.2
