Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
ETV,"","","","","","","","",""
Wed,18/05/2016,1930,1958,ETV,Scandal,Soap,14.5,4877167,40.8
Sat,21/05/2016,1930,2117,ETV,Alvin and the Chipmunks: Chipwrecked,Movi,11.2,3763629,39.8
Mon,23/05/2016,1900,1929,ETV,Rhythm City,Dram,10.4,3507373,29.8
Sat,14/05/2016,1930,2114,ETV,Alvin and the Chipmunks the Squeakquel,Movi,9.6,3247740,35.8
Sun,22/05/2016,1800,1801,ETV,E News Direct Headlines,News,8.4,2822181,29.3
Sun,08/05/2016,1805,1830,ETV,Mahadi-Lobola,Real,8.4,2817794,30.6
Sat,07/05/2016,1929,2120,ETV,Alvin and the Chipmunks,Movi,8.2,2775999,32.5
Tue,10/05/2016,2135,2205,ETV,Z'bondiwe,Dram,8.2,2754048,39.3
Sun,15/05/2016,1800,1801,ETV,E News Direct,News,8.2,2747837,30.8
Sun,08/05/2016,1658,1757,ETV,Wwe Wrestling Raw,Spor,8.1,2736406,34.2
Sun,08/05/2016,2000,2204,ETV,The Tourist,Movi,7.8,2633518,35
Sun,01/05/2016,1959,2208,ETV,Men in Black 3,Movi,7.7,2597558,35
Fri,20/05/2016,2031,2247,ETV,Drunken Master,Movi,7.6,2574902,32.4
Sun,22/05/2016,2000,2208,ETV,X-Men (Movie),Movi,7.4,2482022,31.2
Fri,20/05/2016,2100,2105,ETV,The Powerball Draw,Quiz,6.8,2303300,23.8
Sun,29/05/2016,2000,2241,ETV,X-Men-First Class,Movi,6.8,2297600,34.4
Sun,15/05/2016,1830,1859,ETV,Double up,Musi,6.8,2288417,24.2
Sat,14/05/2016,1659,1758,ETV,Wwe Wrestling Smackdown,Spor,6.7,2258180,30.5
Sun,15/05/2016,2000,2223,ETV,The Green Hornet,Movi,6.6,2223186,30.7
Sun,22/05/2016,1830,1859,ETV,Double-up Mzansi,Vari,6.4,2166931,22.5
"","","","","","","","","",""
